word,rounds_last_met1,words_last_met1,time_last_met1,res_last_met1,rounds_last_met2,words_last_met2,time_last_met2,res_last_met2,rounds_last_met3,words_last_met3,time_last_met3,res_last_met3,rounds_last_met4,words_last_met4,time_last_met4,res_last_met4,rounds_last_met5,words_last_met5,time_last_met5,res_last_met5,res
nicht,7,15,15.0,True,11,15,34.0,True,12,15,82.0,True,16,15,99.0,True,17,15,116.0,True,True
es,9,15,23.0,False,38,14,1028.0,True,39,14,1047.0,True,49,13,162689.0,True,67,13,162751.0,True,False
ist,12,15,43.0,True,20,15,136.0,True,21,15,351.0,True,44,13,1725.0,True,47,13,1805.0,True,True
es,2,15,11.0,False,11,15,34.0,False,40,13,1039.0,True,41,13,1058.0,True,51,13,162700.0,True,False
das,7,15,29.0,True,40,13,962.0,True,58,13,162723.0,True,59,13,162725.0,True,64,13,162736.0,True,True
ich,25,15,373.0,True,29,15,722.0,True,31,15,725.0,True,33,15,737.0,True,48,13,1760.0,True,True
sie,12,15,53.0,True,31,15,740.0,True,37,14,775.0,True,86,12,162847.0,True,93,11,162891.0,True,True
ein,11,15,51.0,True,16,15,72.0,True,36,15,758.0,True,40,13,821.0,True,82,12,162818.0,True,True
ist,6,15,33.0,True,18,15,77.0,True,26,15,170.0,True,27,15,384.0,True,50,13,1758.0,True,True
ich,4,15,28.0,True,29,15,401.0,True,33,15,750.0,True,35,15,753.0,True,37,14,765.0,True,True
und,79,12,162851.0,True,84,12,162866.0,True,219,100,163052.0,False,219,100,163052.0,False,219,100,163052.0,False,True
die,25,15,377.0,True,60,13,162971.0,True,116,100,163206.0,False,220,100,163242.0,False,220,100,163242.0,False,False
ist,4,15,246.0,True,10,15,279.0,True,22,15,323.0,True,30,15,416.0,True,31,15,630.0,True,False
die,2,15,375.0,False,27,15,752.0,True,62,14,163347.0,True,118,100,163581.0,False,222,100,163618.0,False,True
ein,7,15,628.0,True,18,15,679.0,True,23,15,700.0,True,43,14,1385.0,True,47,14,1449.0,True,True
was,17,15,683.0,True,42,14,1386.0,True,45,14,1397.0,True,54,14,1784.0,True,55,14,1879.0,True,True
die,3,15,29.0,True,5,15,405.0,False,30,15,782.0,True,65,14,163376.0,True,121,100,163610.0,False,True
nicht,17,15,691.0,True,24,15,705.0,True,28,15,725.0,True,29,15,773.0,True,33,15,790.0,True,True
ein,4,15,21.0,True,11,15,649.0,True,22,15,700.0,True,27,15,721.0,True,47,14,1407.0,True,True
